,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
newPattern,mbp_NoviHoly,,,,,,,,,,,,,,,,,,
## total time: 10 seconds,,,,,,,,,,,,,,,,,,,
time,0,,,,,,,,,,,,,,,,,,
setVar,distX,bfMaxX/4,,,,,,,,,,,,,,,,,
setVar,distY,bfMaxY/4,,,,,,,,,,,,,,,,,
setVar,moveX,randomSign*distX,,,,,,,,,,,,,,,,,
setVar,moveY,randomSign*distY,,,,,,,,,,,,,,,,,
move,bfCenterX+moveX,bfCenterY+moveY,1000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
time,1000,,,,,,,,,,,,,,,,,,
facePoint,bfCenterX,,,,,,,,,,,,,,,,,,
pattVarReset,,,,,,,,,,,,,,,,,,,
pattVars,warningDelay;0,spawnDelay;3000,eraseDelay;5000,scale;2.5,numPoints;1,posX_0;enemyX,posY_0;enemyY,,,,,,,,,,,,
pattAdd,bp_light_targeted,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
anim,2,3000,5000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
orderBinRandom,1,1,1,1,,,,,,,,,,,,,,,
setVar,curXone,enemyX,,,,,,,,,,,,,,,,,
setVar,curYone,enemyY,,,,,,,,,,,,,,,,,
setVar,curXtwo,enemyX,,,,,,,,,,,,,,,,,
setVar,curYtwo,enemyY,,,,,,,,,,,,,,,,,
setVar,curXthr,enemyX,,,,,,,,,,,,,,,,,
setVar,curYthr,enemyY,,,,,,,,,,,,,,,,,
setVar,curXfour,enemyX,,,,,,,,,,,,,,,,,
setVar,curYfour,enemyY,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
setVar,travelD,150,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
timeRepeatTimes,4000,500,10,,,,,,,,,,,,,,,,
setVar,targOne,randomTargetId(orderBin0),,,,,,,,,,,,,,,,,
setVar,xOne,playerXPos(targOne),,,,,,,,,,,,,,,,,
setVar,yOne,playerYPos(targOne),,,,,,,,,,,,,,,,,
setVar,angOne,pointFrom(curXone>curYone>xOne>yOne),,,,,,,,,,,,,,,,,
setVar,xCompOne,(travelD*cos(angOne)),,,,,,,,,,,,,,,,,
setVar,yCompOne,(travelD*sin(angOne)),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
setVar,curXone,curXone+xCompOne,,,,,,,,,,,,,,,,,
setVar,curYone,curYone+yCompOne,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
setVar,targTwo,randomTargetId(orderBin1),,,,,,,,,,,,,,,,,
setVar,xTwo,playerXPos(targTwo),,,,,,,,,,,,,,,,,
setVar,yTwo,playerYPos(targTwo),,,,,,,,,,,,,,,,,
setVar,angTwo,pointFrom(curXtwo>curYtwo>xTwo>yTwo),,,,,,,,,,,,,,,,,
setVar,xCompTwo,(travelD*cos(angTwo)),,,,,,,,,,,,,,,,,
setVar,yCompTwo,(travelD*sin(angTwo)),,,,,,,,,,,,,,,,,
